Time;Magnitud;Estacion
2015-09-17 12:14:34;5.9;GO03
2017-04-28 15:30:06;5.9;CO02
2016-10-27 20:32:55;5.9;CO02
2015-09-17 12:14:35;5.9;GO03
2015-09-16 23:38:01;5.9;GO03
2016-02-22 06:37:03;5.9;CO02
2015-10-03 06:26:55;5.9;CO02
2015-09-17 13:32:26;5.9;GO03
2015-10-05 16:33:26;5.9;GO03
2017-09-18 13:46:57;5.9;CO02
2014-06-20 20:22:27;5.8;GO01
2015-09-19 09:07:09;5.8;GO03
2014-03-24 11:26:37;5.8;GO01
2016-06-05 05:51:11;5.8;CO01
2020-10-28 14:53:10;5.8;CO01
2014-06-19 09:38:35;5.8;GO01
2017-04-28 16:05:57;5.8;CO02
2017-08-12 12:54:13;5.8;CO02
2014-03-18 21:26:46;5.8;GO01
2014-04-19 20:54:43;5.8;GO01
2014-03-04 10:51:14;5.8;GO03
2016-07-19 05:18:40;5.8;CO02
2017-06-12 02:43:26;5.7;CO02
2020-09-01 07:01:26;5.7;GO03
2014-03-24 15:45:30;5.7;GO01
2019-03-07 15:34:28;5.7;PB14
2015-09-17 04:02:10;5.7;GO03
2020-09-01 10:31:52;5.7;GO03
2014-01-04 00:11:50;5.7;PB09
2015-11-07 10:53:44;5.7;GO03
2014-03-24 11:40:43;5.7;GO01
2014-04-02 04:46:19;5.7;GO01
2020-10-21 09:13:06;5.7;PB14
2015-12-08 12:56:07;5.6;GO03
2015-09-19 13:08:57;5.6;GO03
2015-09-16 23:09:06;5.6;GO03
2014-07-13 20:54:14;5.6;GO01
2014-03-22 13:29:59;5.6;GO01
2019-01-30 07:44:45;5.6;PB14
2014-04-05 02:22:39;5.6;GO03
2014-05-30 15:32:27;5.6;PB09
2015-10-12 03:15:19;5.6;GO03
2019-04-18 04:06:34;5.6;CO02
2016-06-06 13:16:02;5.5;CO02
2014-04-03 02:56:04;5.5;PB09
2017-12-28 03:54:51;5.5;PB14
2020-11-21 02:11:48;5.5;CO02
2015-09-17 05:44:39;5.5;GO03
2019-04-26 06:22:34;5.5;PB14
2020-09-01 05:29:38;5.5;GO03
2020-01-28 18:16:44;5.5;CO02
2015-08-12 00:14:39;5.5;CO02
2015-10-04 03:49:49;5.5;CO02
2016-06-06 13:21:59;5.4;CO02
2018-09-23 05:32:11;5.4;PB14
2019-08-02 00:55:16;5.4;CO02
2015-09-17 04:18:31;5.4;GO03
2017-04-28 15:58:34;5.4;CO02
2019-12-03 07:29:30;5.4;PB09
2019-09-26 20:31:28;5.4;CO02
2019-03-28 15:05:31;5.4;PB14
2018-09-22 13:13:58;5.4;PB14
2015-11-06 08:44:07;5.4;GO03
2015-09-27 21:04:45;5.4;CO02
2016-04-16 06:05:22;5.3;GO03
2014-04-15 16:09:35;5.3;GO01
2014-03-23 20:23:04;5.3;GO01
2014-04-03 15:08:07;5.3;GO01
2014-04-14 05:56:20;5.3;PB09
2014-04-21 13:39:04;5.3;GO01
2020-02-11 13:50:02;5.3;PB14
2015-09-17 12:09:43;5.3;GO03
2015-09-17 16:08:35;5.3;GO03
2020-10-25 21:17:14;5.3;GO01
2014-03-24 11:32:15;5.3;GO01
2014-06-19 19:59:45;5.3;GO01
2014-03-25 00:15:14;5.3;GO01
2014-04-02 19:45:49;5.3;GO01
2019-03-16 18:06:15;5.2;PB14
2015-05-14 15:08:01;5.2;GO03
2019-06-03 08:42:17;5.2;GO01
2015-05-29 04:28:16;5.2;GO03
2015-09-17 03:12:42;5.2;GO03
2015-09-17 10:31:26;5.2;GO03
2015-09-17 22:39:20;5.2;GO03
2016-07-18 02:58:50;5.2;CO02
2014-10-23 23:38:51;5.2;CO02
2017-03-31 18:44:38;5.2;CO02
2014-04-24 10:26:49;5.2;GO01
2014-10-14 09:16:43;5.1;CO02
2014-04-02 04:19:48;5.1;GO01
2017-09-04 21:55:19;5.1;GO01
2014-06-04 17:04:26;5.1;GO01
2015-09-17 06:36:34;5.1;PB09
2014-03-18 14:35:58;5.1;GO01
2014-04-05 04:05:02;5.1;PB09
2014-12-03 09:38:36;5.1;PB06
2017-02-03 00:52:26;5.1;CO02
2014-04-15 16:21:17;5.1;GO01
2014-04-20 07:54:56;5.0;GO01
2020-03-24 06:52:15;5.0;CO02
2015-09-17 20:24:35;5.0;GO03
2014-04-16 03:14:11;5.0;GO01
2014-04-28 04:59:35;5.0;GO01
2015-10-04 10:11:56;5.0;CO02
2020-02-13 05:50:38;5.0;PB09
2014-04-15 17:12:20;5.0;GO01
2014-04-11 12:00:51;5.0;GO01
2014-04-03 09:08:57;5.0;GO01
